Date;Ecopetrol;Retorno Ecopetrol;Colcap;Retorno Colcap;TES 5y (anual);TES 5y (semanal);rECOP - rf;rCOLCAP - rf
6-feb-22;2,972.00;2.45%;1,492.80;-1.94%;8.93%;0.16%;2.29%;-2.10%
13-feb-22;2,997.00;0.84%;1,493.88;0.07%;8.73%;0.16%;0.68%;-0.09%
20-feb-22;3,064.00;2.24%;1,516.24;1.50%;9.10%;0.17%;2.07%;1.33%
27-feb-22;3,340.00;9.01%;1,542.13;1.71%;9.00%;0.17%;8.84%;1.54%
6-mar-22;3,400.00;1.80%;1,548.46;0.41%;9.39%;0.17%;1.63%;0.24%
13-mar-22;3,270.00;-3.82%;1,539.70;-0.57%;9.40%;0.17%;-3.99%;-0.74%
20-mar-22;3,590.00;9.79%;1,606.88;4.36%;10.04%;0.18%;9.61%;4.18%
27-mar-22;3,530.00;-1.67%;1,626.89;1.25%;9.11%;0.17%;-1.84%;1.08%
3-abr-22;3,570.00;1.13%;1,625.53;-0.08%;9.23%;0.17%;0.96%;-0.25%
10-abr-22;3,346.00;-6.27%;1,615.12;-0.64%;9.28%;0.17%;-6.44%;-0.81%
17-abr-22;3,355.00;0.27%;1,614.75;-0.02%;9.72%;0.18%;0.09%;-0.20%
24-abr-22;3,206.00;-4.44%;1,562.46;-3.24%;10.17%;0.19%;-4.63%;-3.43%
1-may-22;3,278.00;2.25%;1,556.15;-0.40%;10.44%;0.19%;2.06%;-0.59%
8-may-22;3,102.00;-5.37%;1,512.12;-2.83%;10.80%;0.20%;-5.57%;-3.03%
15-may-22;2,839.00;-8.48%;1,459.25;-3.50%;10.62%;0.19%;-8.67%;-3.69%
22-may-22;2,999.00;5.64%;1,532.31;5.01%;10.73%;0.20%;5.44%;4.81%
29-may-22;3,300.00;10.04%;1,614.09;5.34%;10.05%;0.18%;9.86%;5.16%
5-jun-22;3,150.00;-4.55%;1,530.73;-5.16%;10.85%;0.20%;-4.75%;-5.36%
12-jun-22;2,760.00;-12.38%;1,454.02;-5.01%;11.00%;0.20%;-12.58%;-5.21%
19-jun-22;2,139.00;-22.50%;1,365.96;-6.06%;11.34%;0.21%;-22.71%;-6.27%
26-jun-22;2,350.00;9.86%;1,357.98;-0.58%;10.88%;0.20%;9.66%;-0.78%
3-jul-22;2,300.00;-2.13%;1,354.92;-0.23%;11.34%;0.21%;-2.34%;-0.44%
10-jul-22;2,098.00;-8.78%;1,274.19;-5.96%;12.85%;0.23%;-9.01%;-6.19%
17-jul-22;2,060.00;-1.81%;1,259.80;-1.13%;12.52%;0.23%;-2.04%;-1.36%
24-jul-22;2,280.00;10.68%;1,295.96;2.87%;11.75%;0.21%;10.47%;2.66%
31-jul-22;2,250.00;-1.32%;1,300.09;0.32%;11.97%;0.22%;-1.54%;0.10%
7-ago-22;2,348.00;4.36%;1,330.82;2.36%;11.44%;0.21%;4.15%;2.15%
14-ago-22;2,267.00;-3.45%;1,307.78;-1.73%;11.79%;0.21%;-3.66%;-1.94%
21-ago-22;2,418.00;6.66%;1,298.84;-0.68%;11.77%;0.21%;6.45%;-0.89%
28-ago-22;2,298.00;-4.96%;1,232.91;-5.08%;11.95%;0.22%;-5.18%;-5.30%
4-sep-22;2,332.00;1.48%;1,222.51;-0.84%;12.14%;0.22%;1.26%;-1.06%
11-sep-22;2,300.00;-1.37%;1,209.58;-1.06%;12.32%;0.22%;-1.59%;-1.28%
18-sep-22;2,034.00;-11.57%;1,157.27;-4.32%;12.34%;0.22%;-11.79%;-4.54%
25-sep-22;2,074.00;1.97%;1,128.24;-2.51%;12.58%;0.23%;1.74%;-2.74%
2-oct-22;2,340.00;12.83%;1,209.10;7.17%;12.88%;0.23%;12.60%;6.94%
9-oct-22;2,160.00;-7.69%;1,168.32;-3.37%;14.19%;0.26%;-7.95%;-3.63%
16-oct-22;2,353.00;8.94%;1,231.64;5.42%;14.73%;0.26%;8.68%;5.16%
23-oct-22;2,410.00;2.42%;1,219.69;-0.97%;13.65%;0.25%;2.17%;-1.22%
30-oct-22;2,540.00;5.39%;1,244.24;2.01%;14.30%;0.26%;5.13%;1.75%
6-nov-22;2,385.00;-6.10%;1,266.56;1.79%;13.31%;0.24%;-6.34%;1.55%
13-nov-22;2,469.00;3.52%;1,282.68;1.27%;13.28%;0.24%;3.28%;1.03%
20-nov-22;2,457.00;-0.49%;1,266.25;-1.28%;13.15%;0.24%;-0.73%;-1.52%
27-nov-22;2,297.00;-6.51%;1,240.93;-2.00%;12.10%;0.22%;-6.73%;-2.22%
4-dic-22;2,195.00;-4.44%;1,236.18;-0.38%;12.85%;0.23%;-4.67%;-0.61%
11-dic-22;2,133.00;-2.82%;1,211.59;-1.99%;12.76%;0.23%;-3.05%;-2.22%
18-dic-22;2,300.00;7.83%;1,252.68;3.39%;12.63%;0.23%;7.60%;3.16%
25-dic-22;2,420.00;5.22%;1,286.07;2.67%;12.75%;0.23%;4.99%;2.44%
