Date;Ecopetrol;Retorno Ecopetrol;Colcap;Retorno Colcap;TES 5y (anual);TES 5y (semanal);rECOP - rf;rCOLCAP - rf
23-dic-18;2,645.00;-0.75%;1,325.93;1.85%;5.16%;0.10%;-0.85%;1.75%
30-dic-18;2,800.00;5.86%;1,356.75;2.32%;5.03%;0.09%;5.77%;2.23%
6-ene-19;2,900.00;3.57%;1,388.38;2.33%;4.99%;0.09%;3.48%;2.24%
13-ene-19;2,895.00;-0.17%;1,392.95;0.33%;5.13%;0.10%;-0.27%;0.23%
20-ene-19;2,860.00;-1.21%;1,425.47;2.33%;5.16%;0.10%;-1.31%;2.24%
27-ene-19;2,935.00;2.62%;1,462.03;2.56%;5.05%;0.09%;2.53%;2.47%
3-feb-19;2,865.00;-2.39%;1,468.77;0.46%;5.15%;0.10%;-2.49%;0.36%
10-feb-19;3,055.00;6.63%;1,488.84;1.37%;5.20%;0.10%;6.53%;1.27%
17-feb-19;3,080.00;0.82%;1,491.74;0.19%;5.11%;0.10%;0.72%;0.10%
24-feb-19;3,165.00;2.76%;1,515.35;1.58%;5.16%;0.10%;2.66%;1.49%
3-mar-19;3,135.00;-0.95%;1,503.01;-0.81%;5.04%;0.09%;-1.04%;-0.91%
10-mar-19;3,400.00;8.45%;1,579.72;5.10%;5.06%;0.09%;8.36%;5.01%
17-mar-19;3,430.00;0.88%;1,597.19;1.11%;5.03%;0.09%;0.79%;1.01%
24-mar-19;3,415.00;-0.44%;1,587.74;-0.59%;5.11%;0.10%;-0.54%;-0.69%
31-mar-19;3,360.00;-1.61%;1,599.83;0.76%;5.15%;0.10%;-1.71%;0.66%
7-abr-19;3,275.00;-2.53%;1,604.97;0.32%;5.15%;0.10%;-2.63%;0.22%
14-abr-19;3,030.00;-7.48%;1,574.31;-1.91%;5.15%;0.10%;-7.58%;-2.01%
21-abr-19;3,005.00;-0.83%;1,597.75;1.49%;5.30%;0.10%;-0.93%;1.39%
28-abr-19;2,925.00;-2.66%;1,555.38;-2.65%;5.38%;0.10%;-2.76%;-2.75%
5-may-19;3,070.00;4.96%;1,550.38;-0.32%;5.47%;0.10%;4.86%;-0.42%
12-may-19;3,070.00;0.00%;1,500.05;-3.25%;5.52%;0.10%;-0.10%;-3.35%
19-may-19;3,000.00;-2.28%;1,489.41;-0.71%;5.33%;0.10%;-2.38%;-0.81%
26-may-19;2,765.00;-7.83%;1,487.00;-0.16%;5.32%;0.10%;-7.93%;-0.26%
2-jun-19;2,875.00;3.98%;1,509.82;1.53%;5.30%;0.10%;3.88%;1.44%
9-jun-19;2,790.00;-2.96%;1,526.36;1.10%;5.32%;0.10%;-3.06%;1.00%
16-jun-19;3,020.00;8.24%;1,560.19;2.22%;5.33%;0.10%;8.14%;2.12%
23-jun-19;2,920.00;-3.31%;1,548.98;-0.72%;5.15%;0.10%;-3.41%;-0.82%
30-jun-19;3,020.00;3.42%;1,579.19;1.95%;5.13%;0.10%;3.32%;1.85%
7-jul-19;3,070.00;1.66%;1,605.15;1.64%;5.09%;0.10%;1.56%;1.55%
14-jul-19;3,010.00;-1.95%;1,600.39;-0.30%;5.04%;0.09%;-2.04%;-0.39%
21-jul-19;2,980.00;-1.00%;1,580.56;-1.24%;5.01%;0.09%;-1.09%;-1.33%
28-jul-19;2,900.00;-2.68%;1,543.38;-2.35%;4.94%;0.09%;-2.77%;-2.45%
4-ago-19;2,835.00;-2.24%;1,537.80;-0.36%;4.91%;0.09%;-2.33%;-0.45%
11-ago-19;2,750.00;-3.00%;1,542.81;0.33%;5.11%;0.10%;-3.10%;0.23%
18-ago-19;2,615.00;-4.91%;1,505.29;-2.43%;4.95%;0.09%;-5.00%;-2.52%
25-ago-19;2,740.00;4.78%;1,559.52;3.60%;7.20%;0.13%;4.65%;3.47%
1-sep-19;2,830.00;3.28%;1,567.53;0.51%;7.30%;0.14%;3.14%;0.38%
8-sep-19;2,900.00;2.47%;1,580.60;0.83%;5.90%;0.11%;2.36%;0.72%
15-sep-19;3,010.00;3.79%;1,594.22;0.86%;6.30%;0.12%;3.67%;0.74%
22-sep-19;2,990.00;-0.66%;1,584.99;-0.58%;6.25%;0.12%;-0.78%;-0.70%
29-sep-19;2,940.00;-1.67%;1,593.05;0.51%;5.33%;0.10%;-1.77%;0.41%
6-oct-19;2,995.00;1.87%;1,590.86;-0.14%;5.26%;0.10%;1.77%;-0.24%
13-oct-19;2,915.00;-2.67%;1,578.61;-0.77%;5.21%;0.10%;-2.77%;-0.87%
20-oct-19;3,045.00;4.46%;1,628.55;3.16%;4.59%;0.09%;4.37%;3.08%
27-oct-19;3,090.00;1.48%;1,645.88;1.06%;4.45%;0.08%;1.40%;0.98%
3-nov-19;3,130.00;1.29%;1,636.23;-0.59%;4.05%;0.08%;1.21%;-0.66%
10-nov-19;3,145.00;0.48%;1,627.25;-0.55%;3.95%;0.07%;0.41%;-0.62%
17-nov-19;3,170.00;0.79%;1,613.84;-0.82%;4.03%;0.08%;0.71%;-0.90%
24-nov-19;3,290.00;3.79%;1,611.92;-0.12%;4.30%;0.08%;3.71%;-0.20%
1-dic-19;3,300.00;0.30%;1,611.67;-0.02%;4.69%;0.09%;0.21%;-0.10%
8-dic-19;3,325.00;0.76%;1,630.80;1.19%;4.65%;0.09%;0.67%;1.10%
15-dic-19;3,320.00;-0.15%;1,642.86;0.74%;4.25%;0.08%;-0.23%;0.66%
22-dic-19;3,340.00;0.60%;1,661.21;1.12%;4.13%;0.08%;0.52%;1.04%
29-dic-19;3,380.00;1.20%;1,676.49;0.92%;4.08%;0.08%;1.12%;0.84%
5-ene-20;3,400.00;0.59%;1,654.93;-1.29%;4.10%;0.08%;0.51%;-1.36%
12-ene-20;3,385.00;-0.44%;1,656.04;0.07%;4.09%;0.08%;-0.52%;-0.01%
19-ene-20;3,290.00;-2.81%;1,647.91;-0.49%;4.00%;0.08%;-2.89%;-0.57%
26-ene-20;3,180.00;-3.34%;1,623.83;-1.46%;4.30%;0.08%;-3.42%;-1.54%
2-feb-20;3,215.00;1.10%;1,654.70;1.90%;4.27%;0.08%;1.02%;1.82%
9-feb-20;3,325.00;3.42%;1,664.40;0.59%;4.37%;0.08%;3.34%;0.50%
16-feb-20;3,425.00;3.01%;1,631.45;-1.98%;4.91%;0.09%;2.92%;-2.07%
23-feb-20;3,105.00;-9.34%;1,549.61;-5.02%;5.11%;0.10%;-9.44%;-5.11%
1-mar-20;2,965.00;-4.51%;1,502.84;-3.02%;4.95%;0.09%;-4.60%;-3.11%
8-mar-20;1,940.00;-34.57%;1,174.31;-21.86%;7.20%;0.13%;-34.70%;-21.99%
15-mar-20;1,485.00;-23.45%;919.59;-21.69%;7.30%;0.14%;-23.59%;-21.83%
22-mar-20;1,860.00;25.25%;1,147.54;24.79%;5.90%;0.11%;25.14%;24.68%
29-mar-20;2,270.00;22.04%;1,127.55;-1.74%;6.30%;0.12%;21.92%;-1.86%
5-abr-20;2,360.00;3.96%;1,187.13;5.28%;6.25%;0.12%;3.84%;5.17%
12-abr-20;1,950.00;-17.37%;1,192.08;0.42%;5.33%;0.10%;-17.47%;0.32%
19-abr-20;1,910.00;-2.05%;1,122.37;-5.85%;5.26%;0.10%;-2.15%;-5.95%
26-abr-20;2,090.00;9.42%;1,142.04;1.75%;5.21%;0.10%;9.32%;1.65%
3-may-20;2,040.00;-2.39%;1,110.26;-2.78%;4.59%;0.09%;-2.48%;-2.87%
10-may-20;1,930.00;-5.39%;1,053.75;-5.09%;4.45%;0.08%;-5.47%;-5.17%
17-may-20;1,970.00;2.07%;1,057.66;0.37%;4.05%;0.08%;1.99%;0.29%
24-may-20;1,990.00;1.02%;1,095.84;3.61%;3.95%;0.07%;0.95%;3.54%
31-may-20;2,345.00;17.84%;1,203.07;9.79%;4.03%;0.08%;17.76%;9.71%
7-jun-20;2,125.00;-9.38%;1,143.13;-4.98%;4.30%;0.08%;-9.46%;-5.06%
14-jun-20;2,140.00;0.71%;1,161.41;1.60%;4.69%;0.09%;0.62%;1.51%
21-jun-20;2,070.00;-3.27%;1,110.65;-4.37%;4.65%;0.09%;-3.36%;-4.46%
28-jun-20;2,100.00;1.45%;1,125.26;1.32%;4.25%;0.08%;1.37%;1.24%
5-jul-20;2,080.00;-0.95%;1,147.78;2.00%;4.13%;0.08%;-1.03%;1.92%
12-jul-20;2,220.00;6.73%;1,156.16;0.73%;4.08%;0.08%;6.65%;0.65%
